0	2000	400
0.1	2015.96665245265	400.425191296971
0.2	2031.88804569421	401.699559936959
0.3	2047.71904880572	403.819493583597
0.4	2063.41478708889	406.77898305464
0.5	2078.93076926826	410.569639355645
0.6	2094.22301360658	415.180717459486
0.7	2109.24817257585	420.599146764298
0.8	2123.96365573051	426.809568143526
0.9	2138.3277504348	433.794377483029
1	2152.29974010165	441.533775581858
1.1	2165.84001960836	450.005824275246
1.2	2178.91020756155	459.186508620711
1.3	2191.47325509345	469.049804971028
1.4	2203.49355088088	479.56775474108
1.5	2214.93702208949	490.710543659505
1.6	2225.77123095684	502.446586280488
1.7	2235.96546674079	514.742615516142
1.8	2245.49083277245	527.563776935678
1.9	2254.3203283669	540.873727564077
2	2262.42892535959	554.634738900205
2.1	2269.79363905137	568.807803862343
2.2	2276.39359336112	583.352747358004
2.3	2282.21008000131	598.228340164591
2.4	2287.2266115086	613.392415798114
2.5	2291.42896797941	628.801990038666
2.6	2294.80523737776	644.413382773866
2.7	2297.3458493012	660.182341814883
2.8	2299.04360210923	676.064168334075
2.9	2299.89368333704	692.013843568668
3	2299.89368333704	707.986156431332
3.1	2299.04360210923	723.935831665925
3.2	2297.3458493012	739.817658185117
3.3	2294.80523737776	755.586617226134
3.4	2291.42896797941	771.198009961334
3.5	2287.2266115086	786.607584201886
3.6	2282.21008000131	801.771659835409
3.7	2276.39359336112	816.647252641996
3.8	2269.79363905137	831.192196137657
3.9	2262.42892535959	845.365261099795
4	2254.3203283669	859.126272435923
4.1	2245.49083277245	872.436223064322
4.2	2235.96546674079	885.257384483858
4.3	2225.77123095684	897.553413719512
4.4	2214.93702208949	909.289456340495
4.5	2203.49355088088	920.43224525892
4.6	2191.47325509345	930.950195028972
4.7	2178.91020756155	940.813491379289
4.8	2165.84001960836	949.994175724754
4.9	2152.29974010165	958.466224418142
5	2138.3277504348	966.205622516971
5.1	2123.96365573051	973.190431856474
5.2	2109.24817257585	979.400853235702
5.3	2094.22301360658	984.819282540514
5.4	2078.93076926826	989.430360644355
5.5	2063.41478708889	993.22101694536
5.6	2047.71904880572	996.180506416403
5.7	2031.88804569421	998.300440063041
5.8	2015.96665245265	999.574808703029
5.9	2000	1000
